DS_Name,Date,age,case
Aiyedade,2019-01-01,All,1308
Aiyedade,2019-02-01,All,1461
Aiyedade,2019-03-01,All,1419
Aiyedade,2019-04-01,All,1427
Aiyedade,2019-05-01,All,1517
Aiyedade,2019-06-01,All,1617
Aiyedade,2019-07-01,All,1786
Aiyedade,2019-08-01,All,1955
Aiyedade,2019-09-01,All,1802
Aiyedade,2019-10-01,All,1724
Aiyedade,2019-11-01,All,1866
Aiyedade,2019-12-01,All,1757
Aiyedade,2020-01-01,All,1597
Aiyedade,2020-02-01,All,1523
Aiyedade,2020-03-01,All,1829
Aiyedade,2020-04-01,All,1890
Aiyedade,2020-05-01,All,2159
Aiyedade,2020-06-01,All,1982
Aiyedade,2020-07-01,All,2035
Aiyedade,2020-08-01,All,1581
Aiyedade,2020-09-01,All,1209
Aiyedade,2020-10-01,All,1602
Aiyedade,2020-11-01,All,1380
Aiyedade,2020-12-01,All,1381
Aiyedade,2021-01-01,All,1267
Aiyedade,2021-02-01,All,1185
Aiyedade,2021-03-01,All,1291
Aiyedade,2021-04-01,All,1251
Aiyedade,2021-05-01,All,1559
Aiyedade,2021-06-01,All,1704
Aiyedade,2021-07-01,All,1806
Aiyedade,2021-08-01,All,1824
Aiyedade,2021-09-01,All,1494
Aiyedade,2021-10-01,All,1767
Aiyedade,2021-11-01,All,1719
Aiyedade,2021-12-01,All,1635
Aiyedade,2022-01-01,All,1358
Aiyedade,2022-02-01,All,1214
Aiyedade,2022-03-01,All,1054
Aiyedade,2022-04-01,All,1048
Aiyedade,2022-05-01,All,1715
Aiyedade,2022-06-01,All,1794
Aiyedade,2022-07-01,All,1031
Aiyedade,2022-08-01,All,1524
Aiyedade,2022-09-01,All,1148
Aiyedade,2022-10-01,All,1150
Aiyedade,2022-11-01,All,1269
Aiyedade,2022-12-01,All,1038
Aiyedade,2023-01-01,All,1015
Aiyedade,2023-02-01,All,854
Aiyedade,2023-03-01,All,1077
Aiyedade,2023-04-01,All,1434
Aiyedade,2023-05-01,All,1523
Aiyedade,2023-06-01,All,1427
Aiyedade,2023-07-01,All,1293
Aiyedade,2023-08-01,All,1556
Aiyedade,2023-09-01,All,1150
Aiyedade,2023-10-01,All,1389
Aiyedade,2023-11-01,All,1340
Aiyedade,2023-12-01,All,1245
Aiyedade,2024-01-01,All,1094
Aiyedade,2024-02-01,All,1272
Aiyedade,2024-03-01,All,1215
Aiyedade,2024-04-01,All,1195
Aiyedade,2024-05-01,All,1431
Aiyedade,2024-06-01,All,1364
Aiyedade,2024-07-01,All,1359
Aiyedade,2024-08-01,All,1273
