agebin,month,Cases,Pop,Year,Run_Number,Sample_ID
5,1,4.261529445648,171.3,2015,0,7.0
100,1,3.744560997002,835.0333333333,2015,0,7.0
5,2,5.235226638615,174.3,2015,0,7.0
100,2,3.722702278756,833.4,2015,0,7.0
5,3,4.311297163367,174.9666666667,2015,0,7.0
100,3,3.712409473956,832.4333333333,2015,0,7.0
5,4,3.760771639645,177.9333333333,2015,0,7.0
100,4,3.983309283853,830.8,2015,0,7.0
5,5,4.289234176278,175.8666666667,2015,0,7.0
100,5,3.637145823799,832.9333333333,2015,0,7.0
5,6,5.095620594919,174.3,2015,0,7.0
100,6,3.467864282429,835,2015,0,7.0
5,7,5.234225839376,174.3333333333,2015,0,7.0
100,7,3.255148984492,833.5,2015,0,7.0
5,8,4.93243265152,175.1333333333,2015,0,7.0
100,8,3.266088813543,834.4333333333,2015,0,7.0
5,9,3.785592950881,176.7666666667,2015,0,7.0
100,9,3.683486326598,835.6666666667,2015,0,7.0
5,10,5.167659968138,178.9333333333,2015,0,7.0
100,10,3.649270161986,833.5,2015,0,7.0
5,11,4.789128303528,177.8333333333,2015,0,7.0
100,11,3.34259774629,833.5333333333,2015,0,7.0
5,12,4.077054291964,176.0666666667,2015,0,7.0
100,12,3.22724553477,833.1666666667,2015,0,7.0
5,1,4.913461506367,173.3333333333,2016,0,7.0
100,1,3.567439364269,835.5666666667,2016,0,7.0
5,2,5.03790821135,171.4666666667,2016,0,7.0
100,2,3.408220315352,835.3333333333,2016,0,7.0
5,3,5.02655915916,169.4333333333,2016,0,7.0
100,3,3.391133792698,832.3666666667,2016,0,7.0
5,4,4.856036737561,167.8666666667,2016,0,7.0
100,4,3.363246582448,832.0333333333,2016,0,7.0
5,5,4.536888688803,166.2666666667,2016,0,7.0
100,5,3.606200085022,833.3333333333,2016,0,7.0
5,6,4.855072304606,167.9,2016,0,7.0
100,6,3.055433145724,832.2333333333,2016,0,7.0
5,7,3.728219345212,166.4333333333,2016,0,7.0
100,7,3.387471027672,833.2666666667,2016,0,7.0
5,8,5.190266147256,166.4333333333,2016,0,7.0
100,8,3.124275110662,833.3666666667,2016,0,7.0
5,9,7.298540323973,166.7,2016,0,7.0
100,9,3.459646507166,833.4666666667,2016,0,7.0
5,10,5.200870871544,168.4333333333,2016,0,7.0
100,10,3.360554035753,832.7,2016,0,7.0
5,11,7.417263127863,172.2333333333,2016,0,7.0
100,11,3.272625386715,832.7666666667,2016,0,7.0
5,12,5.627141475677,175.1333333333,2016,0,7.0
100,12,3.151606428437,830,2016,0,7.0
5,1,3.51226401329,176.6666666667,2017,0,7.0
100,1,3.211272798479,829.7333333333,2017,0,7.0
5,2,5.045445978642,176.0333333333,2017,0,7.0
100,2,3.183054672554,833.2666666667,2017,0,7.0
5,3,5.071401178837,172.7333333333,2017,0,7.0
100,3,2.980956956744,836.7,2017,0,7.0
5,4,5.071428798139,170.3333333333,2017,0,7.0
100,4,3.090146594681,838.6333333333,2017,0,7.0
5,5,4.214780777693,173.2,2017,0,7.0
100,5,2.708746668883,839.9333333333,2017,0,7.0
5,6,5.657329879701,178.5,2017,0,7.0
100,6,2.959341812879,838.7,2017,0,7.0
5,7,3.592781558633,182.8666666667,2017,0,7.0
100,7,3.112324103713,836.5666666667,2017,0,7.0
5,8,3.868786484003,182.4,2017,0,7.0
100,8,2.865311824717,836.5,2017,0,7.0
5,9,2.9760825634,183.9666666667,2017,0,7.0
100,9,2.969846919179,835.7333333333,2017,0,7.0
5,10,2.437725700438,184.6666666667,2017,0,7.0
100,10,3.332602286711,836.0333333333,2017,0,7.0
5,11,6.455513551831,184.7,2017,0,7.0
100,11,2.843289192766,838.7,2017,0,7.0
5,12,6.541455700994,184.1333333333,2017,0,7.0
100,12,3.090883743949,838.4333333333,2017,0,7.0
5,1,3.699547708035,184.1666666667,2018,0,7.0
100,1,2.450447492301,834.1333333333,2018,0,7.0
5,2,4.15362739563,187.4666666667,2018,0,7.0
100,2,3.111666949466,832.8333333333,2018,0,7.0
5,3,5.879881083965,190.3666666667,2018,0,7.0
100,3,2.542376284488,827.9,2018,0,7.0
5,4,6.585216410458,190.3,2018,0,7.0
100,4,2.544425232336,827.2333333333,2018,0,7.0
5,5,5.452605396509,187.4333333333,2018,0,7.0
100,5,2.566085569561,829.7333333333,2018,0,7.0
5,6,5.122579261661,187.6333333333,2018,0,7.0
100,6,2.454003860243,827.9666666667,2018,0,7.0
5,7,4.17142868042,186.6666666667,2018,0,7.0
100,7,2.794117657468,827.3333333333,2018,0,7.0
5,8,2.290247417986,185.9333333333,2018,0,7.0
100,8,2.540228570811,828.6,2018,0,7.0
5,9,2.630630731583,185,2018,0,7.0
100,9,3.029289757833,827.3666666667,2018,0,7.0
5,10,2.607142992318,182,2018,0,7.0
100,10,2.643969599158,828.3,2018,0,7.0
5,11,4.743730373681,182.1,2018,0,7.0
100,11,2.884854556993,830.8333333333,2018,0,7.0
5,12,10.83831200004,184.1,2018,0,7.0
100,12,2.445536604151,830.8333333333,2018,0,7.0
5,1,0,157.6333333333,2015,0,8.0
100,1,0,832.5,2015,0,8.0
5,2,0,161.0333333333,2015,0,8.0
100,2,0,827.6,2015,0,8.0
5,3,0,160.3333333333,2015,0,8.0
100,3,0,827.1666666667,2015,0,8.0
5,4,0,159.7,2015,0,8.0
100,4,0,826.4,2015,0,8.0
5,5,0,160.6,2015,0,8.0
100,5,0,823.5666666667,2015,0,8.0
5,6,0,161.4333333333,2015,0,8.0
100,6,0,823.1,2015,0,8.0
5,7,0,167.3,2015,0,8.0
100,7,0,822.2333333333,2015,0,8.0
5,8,0,170.5333333333,2015,0,8.0
100,8,0,822.1666666667,2015,0,8.0
5,9,0,168.9666666667,2015,0,8.0
100,9,0,825.6666666667,2015,0,8.0
5,10,0,168.4,2015,0,8.0
100,10,0,826.0333333333,2015,0,8.0
5,11,0,169.8,2015,0,8.0
100,11,0,826.1666666667,2015,0,8.0
5,12,0,168.8333333333,2015,0,8.0
100,12,0,826.2666666667,2015,0,8.0
5,1,0,167.4,2016,0,8.0
100,1,0,826.7666666667,2016,0,8.0
5,2,0,165.4666666667,2016,0,8.0
100,2,0,829.3,2016,0,8.0
5,3,0,162.0666666667,2016,0,8.0
100,3,0,830.5666666667,2016,0,8.0
5,4,0,162.3666666667,2016,0,8.0
100,4,0,828.7,2016,0,8.0
5,5,0,158.6333333333,2016,0,8.0
100,5,0,832.5,2016,0,8.0
5,6,0,160.9,2016,0,8.0
100,6,0,834.5,2016,0,8.0
5,7,0,163.1666666667,2016,0,8.0
100,7,0,834.8,2016,0,8.0
5,8,0,165.8,2016,0,8.0
100,8,0,837.1666666667,2016,0,8.0
