,parameter,unit_value,emod_value,type,param_set,min,max,team_default,transformation
0,Temperature_Shift,tensor(0.8972),tensor(3.9722),double,1.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.1342),tensor(0.0012),double,1.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.0062),tensor(0.0001),double,1.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.3060),tensor(0.0281),double,1.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.1650),tensor(-3.3503),double,2.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.5386),tensor(2.0373),double,2.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.9924),tensor(8688.7714),double,2.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.6408),tensor(13.3776),double,2.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.3809),tensor(-1.1914),double,3.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.2521),tensor(0.0104),double,3.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.2762),tensor(0.0162),double,3.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.1867),tensor(0.0031),double,3.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.6799),tensor(1.7987),double,4.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.9188),tensor(2239.1736),double,4.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.7233),tensor(61.1415),double,4.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7719),tensor(149.6377),double,4.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.5730),tensor(0.7295),double,5.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.3841),tensor(0.1184),double,5.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.8194),tensor(359.1308),double,5.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.9095),tensor(1888.1430),double,5.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.3639),tensor(-1.3613),double,6.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.7888),tensor(204.3996),double,6.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.1811),tensor(0.0028),double,6.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.0099),tensor(0.0001),double,6.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.0883),tensor(-4.1166),double,7.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.0021),tensor(0.0001),double,7.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.5895),tensor(5.1963),double,7.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.5363),tensor(1.9500),double,7.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.8480),tensor(3.4800),double,8.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.6689),tensor(22.4638),double,8.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.4120),tensor(0.1977),double,8.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.3871),tensor(0.1249),double,8.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.7611),tensor(2.6115),double,9.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.3624),tensor(0.0793),double,9.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.5292),tensor(1.7131),double,9.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.1088),tensor(0.0007),double,9.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.0520),tensor(-4.4798),double,10.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.9666),tensor(5400.9175),double,10.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.4722),tensor(0.5996),double,10.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.9435),tensor(3530.9954),double,10.0,-4.0,4.0,,log
